"method","sil_by_study","sil_by_condition","score"
"DESeq2",-0.195589563937614,0.0377531581012495,0.233342722038864
"zscore",-0.0720021598666856,0.0122710323864099,0.0842731922530955
"RUVg",0.0195327343456722,0.0328362827339675,0.0133035483882953
"ComBat-ref",0.0232188848623281,0.0211301413584272,-0.00208874350390089
"Raw (log2-CPM)",0.220397781220984,0.0154208344203659,-0.204976946800618
