"replicate","n_sig","recovery"
0,1132,99.6466431095406
1,6424,0.088339222614841
2,88,1.67844522968198
3,6424,0.088339222614841
4,87,2.65017667844523
5,6424,0.088339222614841
6,6424,0.088339222614841
7,6424,0.088339222614841
8,6424,0.088339222614841
9,6424,0.088339222614841
10,6424,0.088339222614841
11,6424,0.088339222614841
12,6424,0.088339222614841
13,6424,0.088339222614841
14,6424,0.088339222614841
15,6424,0.088339222614841
16,6424,0.088339222614841
17,6424,0.088339222614841
18,6424,0.088339222614841
19,6424,0.088339222614841
20,6424,0.088339222614841
21,496,16.5194346289753
22,6424,0.088339222614841
23,6424,0.088339222614841
24,198,6.18374558303887
25,6424,0.088339222614841
26,6424,0.088339222614841
27,6424,0.088339222614841
28,6424,0.088339222614841
29,6424,0.088339222614841
30,6424,0.088339222614841
31,6424,0.088339222614841
32,6424,0.088339222614841
33,6424,0.088339222614841
34,6424,0.088339222614841
35,6424,0.088339222614841
36,6424,0.088339222614841
37,6424,0.088339222614841
38,6424,0.088339222614841
39,6424,0.088339222614841
40,6424,0.088339222614841
41,6424,0.088339222614841
42,6424,0.088339222614841
43,6424,0.088339222614841
44,6424,0.088339222614841
45,6424,0.088339222614841
46,6424,0.088339222614841
47,6424,0.088339222614841
48,6424,0.088339222614841
49,6424,0.088339222614841
50,6424,0.088339222614841
51,6424,0.088339222614841
52,6424,0.088339222614841
53,6424,0.088339222614841
54,6424,0.088339222614841
55,6424,0.088339222614841
56,6424,0.088339222614841
57,6424,0.088339222614841
58,6424,0.088339222614841
59,6424,0.088339222614841
60,6424,0.088339222614841
61,6424,0.088339222614841
62,6424,0.088339222614841
63,6424,0.088339222614841
64,6424,0.088339222614841
65,6424,0.088339222614841
66,6424,0.088339222614841
67,6424,0.088339222614841
68,6424,0.088339222614841
69,6424,0.088339222614841
70,6424,0.088339222614841
71,6424,0.088339222614841
72,6424,0.088339222614841
73,6424,0.088339222614841
74,6424,0.088339222614841
75,6424,0.088339222614841
76,6424,0.088339222614841
77,6424,0.088339222614841
78,6424,0.088339222614841
79,6424,0.088339222614841
80,6424,0.088339222614841
81,6424,0.088339222614841
82,6424,0.088339222614841
83,6424,0.088339222614841
84,6424,0.088339222614841
85,194,3.09187279151943
86,6424,0.088339222614841
87,6424,0.088339222614841
88,6424,0.088339222614841
89,6424,0.088339222614841
90,6424,0.088339222614841
91,6424,0.088339222614841
92,6424,0.088339222614841
93,6424,0.088339222614841
94,6424,0.088339222614841
95,6424,0.088339222614841
96,6424,0.088339222614841
97,6424,0.088339222614841
98,6424,0.088339222614841
99,6424,0.088339222614841
100,6424,0.088339222614841
101,6424,0.088339222614841
102,6424,0.088339222614841
103,6424,0.088339222614841
104,6424,0.088339222614841
105,6424,0.088339222614841
106,6424,0.088339222614841
107,6424,0.088339222614841
108,6424,0.088339222614841
109,6424,0.088339222614841
110,6424,0.088339222614841
111,6424,0.088339222614841
112,6424,0.088339222614841
113,6424,0.088339222614841
114,6424,0.088339222614841
115,6424,0.088339222614841
116,6424,0.088339222614841
117,6424,0.088339222614841
118,6424,0.088339222614841
119,6424,0.088339222614841
120,6424,0.088339222614841
121,6424,0.088339222614841
122,6424,0.088339222614841
123,6424,0.088339222614841
124,1278,39.5759717314488
125,259,6.71378091872791
126,6424,0.088339222614841
127,6424,0.088339222614841
128,6424,0.088339222614841
129,6424,0.088339222614841
130,6424,0.088339222614841
131,6424,0.088339222614841
132,151,2.91519434628975
133,6424,0.088339222614841
134,6424,0.088339222614841
135,6424,0.088339222614841
136,6424,0.088339222614841
137,6424,0.088339222614841
138,6424,0.088339222614841
139,6424,0.088339222614841
140,6424,0.088339222614841
141,6424,0.088339222614841
142,6424,0.088339222614841
143,6424,0.088339222614841
144,6424,0.088339222614841
145,6424,0.088339222614841
146,6424,0.088339222614841
147,6424,0.088339222614841
148,6424,0.088339222614841
149,6424,0.088339222614841
150,6424,0.088339222614841
151,6424,0.088339222614841
152,6424,0.088339222614841
153,6424,0.088339222614841
154,6424,0.088339222614841
155,6424,0.088339222614841
156,6424,0.088339222614841
157,6424,0.088339222614841
158,6424,0.088339222614841
159,6424,0.088339222614841
160,6424,0.088339222614841
161,6424,0.088339222614841
162,6424,0.088339222614841
163,6424,0.088339222614841
164,6424,0.088339222614841
165,6424,0.088339222614841
166,6424,0.088339222614841
167,6424,0.088339222614841
168,6424,0.088339222614841
169,6424,0.088339222614841
170,6424,0.088339222614841
171,6424,0.088339222614841
172,6424,0.088339222614841
173,6424,0.088339222614841
174,6424,0.088339222614841
175,6424,0.088339222614841
176,6424,0.088339222614841
177,6424,0.088339222614841
178,6424,0.088339222614841
179,6424,0.088339222614841
180,6424,0.088339222614841
181,6424,0.088339222614841
182,6424,0.088339222614841
183,6424,0.088339222614841
184,6424,0.088339222614841
185,6424,0.088339222614841
186,6424,0.088339222614841
187,6424,0.088339222614841
188,6424,0.088339222614841
189,6424,0.088339222614841
190,6424,0.088339222614841
191,6424,0.088339222614841
192,6424,0.088339222614841
193,6424,0.088339222614841
194,6424,0.088339222614841
195,6424,0.088339222614841
196,6424,0.088339222614841
197,6424,0.088339222614841
198,6424,0.088339222614841
199,6424,0.088339222614841
200,6424,0.088339222614841
