"Paradigm","Method","Arm","RR_Mission","comparator","n_single_sig","n_retained","n_dropped","retained_frac","AUC_retain_by_signif","rank_biserial","wilcox_greater_p","perm_p","median_logp_retained","median_logp_dropped","AUC_retain_by_absNES","median_absNES_retained","median_absNES_dropped","perm_p_adj"
"gsea","glm","deseq2","RR47","full_merge",331,143,188,0.432,0.731,0.462,2.97e-13,5e-04,2.063,1.389,0.608,1.691,1.64,0.000758
"gsea","glm","ruvg","RR1_NASA","full_merge",270,30,240,0.111,0.509,0.018,0.436,0.43,1.748,1.661,0.382,1.752,1.849,0.489
"gsea","glm","ruvg","RR6","full_merge",327,118,209,0.361,0.617,0.234,0.000225,0.001,1.992,1.536,0.439,1.76,1.816,0.00139
"gsea","glm","ruvg","RR8","full_merge",250,117,133,0.468,0.645,0.291,3.71e-05,5e-04,1.919,1.428,0.395,1.74,1.818,0.000758
"gsea","glm","ruvg","RR9","full_merge",642,186,456,0.29,0.632,0.264,7.26e-08,5e-04,2.256,1.592,0.392,1.626,1.675,0.000758
"gsea","glm","ruvg","RR3","full_merge",82,37,45,0.451,0.802,0.604,5.31e-07,5e-04,1.99,1.206,0.657,1.977,1.853,0.000758
"gsea","glm","ruvg","RR47","full_merge",331,148,183,0.447,0.737,0.473,6.74e-14,5e-04,2.085,1.404,0.623,1.695,1.628,0.000758
"gsea","glm","combat_ref","RR1_NASA","full_merge",270,32,238,0.119,0.652,0.304,0.0026,0.0035,2.419,1.646,0.639,1.975,1.821,0.00461
"gsea","glm","combat_ref","RR6","full_merge",327,138,189,0.422,0.628,0.256,3.78e-05,5e-04,2.122,1.516,0.495,1.787,1.81,0.000758
"gsea","glm","combat_ref","RR8","full_merge",250,118,132,0.472,0.739,0.478,3.57e-11,5e-04,2.33,1.357,0.52,1.812,1.777,0.000758
"gsea","glm","combat_ref","RR9","full_merge",642,199,443,0.31,0.644,0.288,2.68e-09,5e-04,2.267,1.572,0.424,1.646,1.673,0.000758
"gsea","glm","combat_ref","RR3","full_merge",82,29,53,0.354,0.757,0.514,6.43e-05,5e-04,2.109,1.283,0.647,1.977,1.858,0.000758
"gsea","glm","combat_ref","RR47","full_merge",331,151,180,0.456,0.662,0.323,2.03e-07,5e-04,1.908,1.48,0.476,1.655,1.669,0.000758
"ora","elasticnet","zscore","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","elasticnet","zscore","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","elasticnet","zscore","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","elasticnet","zscore","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","elasticnet","zscore","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","elasticnet","deseq2","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","elasticnet","deseq2","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","elasticnet","deseq2","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","elasticnet","deseq2","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","elasticnet","deseq2","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","elasticnet","ruvg","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","elasticnet","ruvg","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","elasticnet","ruvg","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","elasticnet","ruvg","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","elasticnet","ruvg","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","elasticnet","combat_ref","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","elasticnet","combat_ref","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","elasticnet","combat_ref","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","elasticnet","combat_ref","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","elasticnet","combat_ref","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","xgboost","zscore","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","xgboost","zscore","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","xgboost","zscore","RR9","full_merge",45,4,41,0.089,0.384,-0.232,0.774,0.776,2.339,2.429,NA,NA,NA,0.826
"ora","xgboost","zscore","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","xgboost","zscore","RR47","full_merge",46,3,43,0.065,0.209,-0.581,0.953,0.957,2.312,4.926,NA,NA,NA,0.957
"ora","xgboost","deseq2","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","xgboost","deseq2","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","xgboost","deseq2","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","xgboost","deseq2","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","xgboost","deseq2","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","xgboost","ruvg","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","xgboost","ruvg","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","xgboost","ruvg","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","xgboost","ruvg","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","xgboost","ruvg","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","xgboost","combat_ref","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","xgboost","combat_ref","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","xgboost","combat_ref","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","xgboost","combat_ref","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","xgboost","combat_ref","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","svm","zscore","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","svm","zscore","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","svm","zscore","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","svm","zscore","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","svm","zscore","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","svm","deseq2","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","svm","deseq2","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","svm","deseq2","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","svm","deseq2","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","svm","deseq2","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","svm","ruvg","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","svm","ruvg","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
