"Method","Paradigm","Arm","RR_Mission","Total_in_Single_Study","Single_Study_Only","Single_and_Merged","Overlap_with_Merged_Total","Merged_Study_Only","Pct_Single_and_Merged"
"elasticnet","ora","deseq2","RR9",149,0,2,2,0,1.3
"elasticnet","ora","ruvg","RR1_NASA",63,0,0,0,0,0
"elasticnet","ora","ruvg","RR6",47,0,0,0,0,0
"elasticnet","ora","ruvg","RR8",20,0,0,0,0,0
"elasticnet","ora","ruvg","RR9",149,0,0,0,0,0
"elasticnet","ora","combat_ref","RR1_NASA",63,0,0,0,0,0
"elasticnet","ora","combat_ref","RR6",47,0,0,0,0,0
"elasticnet","ora","combat_ref","RR8",20,0,0,0,0,0
"elasticnet","ora","combat_ref","RR9",149,0,0,0,0,0
"xgboost","gsea","zscore","RR1_NASA",270,200,0,0,0,0
"xgboost","gsea","zscore","RR6",327,253,0,0,0,0
"xgboost","gsea","zscore","RR8",250,200,0,0,0,0
"xgboost","gsea","zscore","RR9",642,465,0,0,0,0
"xgboost","gsea","deseq2","RR1_NASA",270,175,0,0,0,0
"xgboost","gsea","deseq2","RR6",327,258,0,0,0,0
"xgboost","gsea","deseq2","RR8",250,195,0,0,0,0
"xgboost","gsea","deseq2","RR9",642,469,0,0,0,0
"xgboost","gsea","ruvg","RR1_NASA",270,158,0,0,0,0
"xgboost","gsea","ruvg","RR6",327,247,0,0,0,0
"xgboost","gsea","ruvg","RR8",250,205,0,0,0,0
"xgboost","gsea","ruvg","RR9",642,438,0,0,0,0
"xgboost","gsea","combat_ref","RR1_NASA",270,106,0,0,0,0
"xgboost","gsea","combat_ref","RR6",327,203,0,0,0,0
"xgboost","gsea","combat_ref","RR8",250,145,0,0,0,0
"xgboost","gsea","combat_ref","RR9",642,339,0,0,0,0
"xgboost","ora","zscore","RR1_NASA",63,0,0,0,0,0
"xgboost","ora","zscore","RR6",47,0,0,0,0,0
"xgboost","ora","zscore","RR8",20,0,0,0,0,0
"xgboost","ora","zscore","RR9",149,0,18,18,0,12.1
"xgboost","ora","deseq2","RR1_NASA",63,0,0,0,0,0
"xgboost","ora","deseq2","RR6",47,0,0,0,0,0
"xgboost","ora","deseq2","RR8",20,0,0,0,0,0
"xgboost","ora","deseq2","RR9",149,0,1,1,0,0.7
"xgboost","ora","ruvg","RR1_NASA",63,0,0,0,0,0
"xgboost","ora","ruvg","RR6",47,0,0,0,0,0
"xgboost","ora","ruvg","RR8",20,0,0,0,0,0
"xgboost","ora","ruvg","RR9",149,0,1,1,0,0.7
"xgboost","ora","combat_ref","RR1_NASA",63,0,0,0,0,0
"xgboost","ora","combat_ref","RR6",47,0,0,0,0,0
"xgboost","ora","combat_ref","RR8",20,0,2,2,0,10
"xgboost","ora","combat_ref","RR9",149,0,0,0,0,0
